time,volume,open,high,low,close
06/20/1986,0,100,100,100,100
06/23/1986,0,100,100,100,100
06/24/1986,0,100,100,100,100
06/25/1986,0,100,100,100,100
06/26/1986,0,100,100,100,100
06/27/1986,0,100,100,100,100
06/30/1986,0,100,100,100,100
07/01/1986,0,100.08,100.08,100.08,100.08
07/02/1986,0,100,100,100,100
07/03/1986,0,100.63,100.63,100.63,100.63
07/07/1986,0,100.03,100.03,100.03,100.03
07/08/1986,0,99.46,99.46,99.46,99.46
07/09/1986,0,100.11,100.11,100.11,100.11
07/10/1986,0,100.7,100.7,100.7,100.7
07/11/1986,0,100.4,100.4,100.4,100.4
07/14/1986,0,98.67,98.67,98.67,98.67
07/15/1986,0,96.72,96.72,96.72,96.72
07/16/1986,0,96.42,96.42,96.42,96.42
07/17/1986,0,97.01,97.01,97.01,97.01
07/18/1986,0,98.33,98.33,98.33,98.33
07/21/1986,0,98.31,98.31,98.31,98.31
07/22/1986,0,98.77,98.77,98.77,98.77
07/23/1986,0,98.82,98.82,98.82,98.82
07/24/1986,0,99.06,99.06,99.06,99.06
07/25/1986,0,99.51,99.51,99.51,99.51
07/28/1986,0,99.06,99.06,99.06,99.06
07/29/1986,0,99.14,99.14,99.14,99.14
07/30/1986,0,99.81,99.81,99.81,99.81
07/31/1986,0,99.89,99.89,99.89,99.89
08/01/1986,0,99.44,99.44,99.44,99.44
08/04/1986,0,100.02,100.02,100.02,100.02
08/05/1986,0,100.35,100.35,100.35,100.35
08/06/1986,0,100.52,100.52,100.52,100.52
08/07/1986,0,100.61,100.61,100.61,100.61
08/08/1986,0,100.78,100.78,100.78,100.78
08/11/1986,0,101.04,101.04,101.04,101.04
08/12/1986,0,101.06,101.06,101.06,101.06
08/13/1986,0,100.98,100.98,100.98,100.98
08/14/1986,0,101.06,101.06,101.06,101.06
08/15/1986,0,101.09,101.09,101.09,101.09
08/18/1986,0,101.23,101.23,101.23,101.23
08/19/1986,0,101.19,101.19,101.19,101.19
08/20/1986,0,101.56,101.56,101.56,101.56
08/21/1986,0,101.67,101.67,101.67,101.67
08/22/1986,0,101.78,101.78,101.78,101.78
08/25/1986,0,101.83,101.83,101.83,101.83
08/26/1986,0,101.98,101.98,101.98,101.98
08/27/1986,0,101.84,101.84,101.84,101.84
08/28/1986,0,102.05,102.05,102.05,102.05
08/29/1986,0,102.29,102.29,102.29,102.29
09/02/1986,0,102.32,102.32,102.32,102.32
09/03/1986,0,102.4,102.4,102.4,102.4
09/04/1986,0,102.29,102.29,102.29,102.29
09/05/1986,0,102.63,102.63,102.63,102.63
09/08/1986,0,102.62,102.62,102.62,102.62
09/09/1986,0,102.76,102.76,102.76,102.76
09/10/1986,0,102.72,102.72,102.72,102.72
09/11/1986,0,97.61,97.61,97.61,97.61
09/12/1986,0,96.2,96.2,96.2,96.2
09/15/1986,0,95.8,95.8,95.8,95.8
09/16/1986,0,95.75,95.75,95.75,95.75
09/17/1986,0,95.51,95.51,95.51,95.51
09/18/1986,0,96.08,96.08,96.08,96.08
09/19/1986,0,95.62,95.62,95.62,95.62
09/22/1986,0,95.87,95.87,95.87,95.87
09/23/1986,0,95.83,95.83,95.83,95.83
09/24/1986,0,95.85,95.85,95.85,95.85
09/25/1986,0,95.98,95.98,95.98,95.98
09/26/1986,0,96.12,96.12,96.12,96.12
09/29/1986,0,96.13,96.13,96.13,96.13
